,Building name,Related probable/confirmed cases,count,lat_col,long_col
236,"Chun Yu House, Sam Shing Estate",4455,1,22.3812137,113.97821164429638
237,"Chung Kam House, Tin Chun Court",4171,1,37.3003339,99.0218964
238,"Chung Kam House, Tin Chung Court","3744, 3905",2,22.46044985,114.00015404901782
239,Chung Kin Building,4159,1,22.3228706,114.1605157
240,"Chung Lau House, Tin Chung Court","3793, 3934",2,22.46044985,114.00015404901782
241,"Chung Man House, Oi Man Estate",4086,1,22.31287595,114.17834880013314
242,Chung Nam Building ,4076,1,22.27857465,114.16894833737656
243,Chung Nam Mansion,4403,1,22.2886958,114.19358254784106
244,"Chung Nam Mansion, 68-74 Ma Tau Chung Road",3713,1,22.3270107,114.1901404
245,Chung On Shopping Centre  ,4267,1,22.42186135,114.22667197414032
246,Chung On Shopping Centre Caf de Coral ,4267,1,,
247,Chung On Shopping Centre Yoshinoya ,4267,1,,
248,Chung Uk Tsuen,4374,1,22.4296975,113.9922331
249,"Chung Wo House, Chung On Estate",4124,1,22.42280875,114.22660838591347
250,Chungking Mansion Caf de Coral ,3914,1,,
251,CityLink Plaza ,"2634, 2696",2,22.38249995,114.18764947872717
252,Cityplaza ,"1376, 1752, 2787, 3515",4,22.2861,114.216995
253,Cityplaza 2 Greyhound Caf ,4021,1,,
254,Cityplaza 3 ,4270,1,22.28762975,114.21692557628535
255,Citywalk ,"3976, 4022, 4023",3,22.36997825,114.11352471912649
256,Citywalk Caf De Coral ,4217,1,,
257,Connaught Commercial Building ,"3837, 3838",2,22.2874641,114.15009685332846
258,Continental Mansion,4427,1,22.28980525,114.19556430217145
259,Courtyard By Marriott Hong Kong Sha Tin,4195,1,,
260,Courtyard By Marriott Hong Kong Sha Tin ,4195,1,,
261,Creative Secondary School ,3749,1,22.307806399999997,114.26756573440888
262,Crocodile Center The Graces Restaurant ,4203,1,,
263,Cronin Garden ,4327,1,22.33632305,114.16134360466208
264,Cronin Garden Lemon Bakery ,3831,1,,
265,Crowne Plaza Hong Kong Kowloon East ,"2536, 3390",2,22.3085116,114.25995370325955
266,Dawning Height,3651,1,22.2831707,114.15141318087649
267,Devon House ,3975,1,22.2872353,114.21099121563148
268,Disciplined Services Sports And Recreation Club ,4296,1,22.276430599999998,114.18865858336467
269,Discovery Park Chef's Stage Kitchen ,4546,1,,
270,Domain ,4151,1,-33.86822585,151.2152386947114
271,Dorsett Kwun Tong,3749,1,22.30798855,114.2242398810748
272,"Dorsett Mongkok, Hong Kong","3628, 3629, 3680",3,22.32126725,114.16221840714394
273,Dorsett Tsuen Wan,3777,1,22.3700254,114.1293912
274,Dorsett Tsuen Wan Hong Kong ,"1464, 1938, 2519, 2614, 2931, 3777",6,22.3700254,114.1293912
275,Dorsett Wanchai Hong Kong 3T Bar ,4232,1,,
276,Downtown 38,4232,1,38.9003966,-77.02825860075292
277,Dragon Centre Fairwood ,3991,1,,
278,Dragon Centre The Palace ,"1864, 2540",2,21.2120717,79.2049127
279,EIB Tower ,"2169, 2658",2,22.2777504,114.17968228602693
280,ELEMENTS ,"1715, 3057, 4011, 4077",4,22.30489715,114.16197264943915
281,East Point Centre ,"2032, 2857, 2943, 2945",4,22.2803829,114.1843100717636
282,East Point City ,"1751, 2099, 2140, 2330, 3327, 3328, 3424",7,22.316333649999997,114.26551561779456
283,Eastland Towers Dragon Place Restaurant ,"2201, 2358",2,,
284,Edward Mansion ,"1771, 2380, 3171, 3646",4,22.32550045,114.17499335770555
285,Edward Mansion Yuen Long Bistro ,4032,1,,
286,Eldo Court Shopping Centre ,3822,1,22.3982227,113.9756466
287,"Estoril Heights, Belair Gardens","4268, 4310, 4435",3,22.3852959,114.19939988330268
288,Euro Trade Centre ,"2143, 2522",2,22.28271175,114.15768492659289
289,Everest Industrial Centre ,4271,1,22.313267250000003,114.22238155565384
290,Exchange Tower ,4522,1,22.3210089,114.20941457125303
291,Fa Yuen Street Municipal Services Building ,4264,1,22.32081735,114.17053732511218
292,Fanling Centre ,"1975, 2053, 2357, 3405",4,22.490440399999997,114.1415116696012
293,Fanling Town Centre Ocean Empire Food Shop ,4240,1,,
294,Fat Tseung Building,"4231, 4275",2,22.2681892,114.2739223
295,"Felicitous House, Affluence Garden",3742,1,22.403357800000002,113.97518307995873
296,Festival Walk ,"1594, 1699, 1786, 1896, 2099, 2948, 3515",7,22.33728155,114.1746215306009
297,Fitfort ,4547,1,,
298,Flora Plaza ,4021,1,32.5362868,-92.093822
299,Flora Villa ,3961,1,22.32832645,114.17291472513315
300,Fo Tan Village,"3866, 3867",2,22.3952729,114.1955598
301,Fok On Building ,3713,1,52.1055997,23.773764702953756
302,Foka Building  ,4550,1,22.3072433,114.18400674276205
303,"Fook Hoi House, Lek Yuen Estate",3594,1,22.3851838,114.19164642480935
304,Fook Wo Building,3970,1,22.27609455,114.17393459758395
305,Fook Wo Building ,"3612, 3542",2,22.27609455,114.17393459758395
306,"Fook Yuet House, Fortune Estate","3670, 3708",2,22.33558165,114.15396514847947
307,Fortress Tower ,4332,1,22.28860515,114.19439098787856
308,Fortune City One Market ,"3335, 4268",2,22.3854472,114.20463501773744
309,Fortune Court,4284,1,22.291997350000003,114.19767548760665
310,Fortune Mansion ,"3018, 3353",2,22.28026635,114.22423022924669
311,Fortune Plaza ,"1806, 2090, 2617, 2854, 3496",5,27.32606135,117.48889780995101
312,Fortune Plaza McDonald's ,"2090, 2854",2,22.452426600000003,114.16804956411504
313,Freshall (Sha Kok Market) ,"2294, 3250, 3619, 3642, 4267, 4268, 4310",7,,
314,"Fu Dat Court, Fortress Garden",4341,1,22.2872951,114.19422237488126
315,"Fu Ming Yuen, Chi Fu Fa Yuen",4180,1,22.2575143,114.1393093
316,Fu Ning Garden Commercial Complex ,3875,1,22.31879545,114.26769362448479
317,Fu Shin Shopping Centre ,"3873, 4316, 4438",3,22.45377015,114.17487368975705
318,Fu Shin Shopping Centre Fairwood ,4438,1,,
319,Fu Shin Shopping Centre Kam Yuen Restaurant ,3873,1,,
320,Fu Shing Court,4379,1,22.2657963,114.245687
321,"Fu Sing House, Fu Cheong Estate",4327,1,22.32867215,114.15452111456256
322,Fu Tai Shopping Centre ,"1731, 2649, 2966, 3287, 4239",5,22.4133917,113.98276159647465
323,Fu Tai Shopping Centre Bao Dim Sin Seng ,"3287, 3317",2,,
324,Fu Tai Shopping Centre Green River Restaurant ,"2965, 2966, 3550",3,,
325,"Fu Tak House, Tai Wo Hau Estate",3598,1,22.3673675,114.12395762941834
326,"Fu Wing House, Tai Wo Hau Estate","4175, 4216, 4220, 4225, 4389",5,22.3671635,114.12426973235418
327,"Fu Yin House, Tai Wo Hau Estate",4343,1,22.3673675,114.12395762941834
328,"Fuk On Building, 88-90 Fuk Wa Street",3792,1,22.3330009,114.1604232
329,Fuk Shing Commercial Building ,3968,1,22.4985915,114.1459380381346
330,"Full Comfort Court, 426 Yuen Kong","4196, 4197",2,22.4275701,114.0780027
331,Fung Chi Tsuen,"3993, 4000, 4012",3,22.4477419,114.0199007
332,"Fung Ping House, Long Ping Estate","4194, 4354, 4355",3,22.44945795,114.02456737236392
333,"Fung Shek House, Shek Mun Estate",4411,1,22.3864982,114.20856146676829
334,Fung Tak Estate Ngan Fung House ,"1868, 2724",2,,
335,Fung Tak Shopping Centre ,"1956, 1689, 1963, 1773, 1868, 2891, 3184, 3921",8,22.3431359,114.2000606
336,Fung Ying Seen Koon ,"2495, 2717, 2843",3,22.4904919,114.139059
337,Gala Place ,"1610, 1640, 1875, 2027, 2186, 2652, 3291, 4175",8,22.315091250000002,114.17111422015583
338,Garfield Mansion,"3611, 3868, 4240",3,46.5991721,-112.0476742
339,Gateway Arcade Han Lin Tea Room ,4079,1,,
340,Gateway Arcade cookedDeli by city'super ,"1746, 1771, 2227",3,,
341,Ginza Plaza ,"2289, 2476, 2765, 3356",4,22.31626895,114.17082595
342,"Gladiolus House, So Uk Estate","3805, 4291, 4474, 4523, 4525",5,22.3409567,114.15667759475292
343,Gleneagles Hong Kong Hospital ,"2980, 3343",2,22.2515304,114.1764717212933
344,Global Gateway Tower ,3945,1,22.36548615,114.11934345637965
345,Golden Bear Industrial Centre ,4412,1,22.372392599999998,114.10827386322512
346,Golden Building ,4077,1,22.3320144,114.16220326921876
347,Golden Computer Arcade ,"3894, 4338",2,22.33201575,114.16203144271535
348,Golden Dragon Industrial Centre ,4097,1,22.35820845,114.13120568723251
349,Golden Era Plaza Tastefull Kitchen ,"3617, 3715",2,,
350,"Golden Healthy Court, Phase 1, Golden Lion Garden",4429,1,51.469875,-0.210032
351,Golden Hill Commercial Mansion ,4368,1,43.6475388,-79.3930997
352,Goldfield Mansion ,4341,1,22.291751400000003,114.19823545
353,Grand Plaza ,"2164, 2574, 4338",3,50.84671435,4.352514119250888
354,Grand Waterfront Plaza ,"2333, 3119",2,22.3191736,114.1932863
355,Grandeur Shopping Arcade ,4296,1,-36.8583174,174.7821733
356,Grandeur Shopping Arcade Caf de Coral ,4267,1,,
357,Great Eagle Centre ,4156,1,22.2810278,114.17488305
358,Greenland Garden Shopping Centre ,"2154, 2374",2,,
359,"Greenwich Garden, Kam Shan Village",4539,1,22.44807965,114.16170898160328
360,Guangdong Hotel,"3843, 3845",2,8.988572,38.7874905
361,Guardforce Centre ,3965,1,22.3108745,114.19076982763158
362,Guardian House ,4270,1,52.463494,-1.9988911995451142
363,H.A.N.D.S Shopping Centre ,"1763, 1894, 2168, 3640",4,,
364,H21 Golden Star Seafood Restaurant ,"3118, 3495",2,,
365,HKSH Eastern Medical Centre ,"2822, 2854",2,22.28250435,114.23265695
366,Ha Kwai Chung Polyclinic & Special Education Services Centre ,"2261, 2262, 2600, 2878, 2919",5,,
367,Ha Wo Che,4255,1,22.3894223,114.1938147
368,Ha Wong Yi Au,3636,1,22.4418931,114.1750592
369,Haking Wong Building The University of Hong Kong Union Restaurant (EAT) ,"3432, 3588",2,,
370,Hanford Garden ,4455,1,22.382531450000002,113.97707327096589
371,"Hang Chun House, Cheung Hang Estate",3638,1,22.3554038,114.09796585641381
372,Hang On Building ,4218,1,22.34379645,114.19863901707345
373,"Hang Wo House, Tai Wo Estate","3835, 4051, 4104, 4132",4,22.45195575,114.16260389308354
374,Harbour City ,"2538, 2790, 3052, 3346, 3492",5,53.7662863,-2.7548233
375,Harbour One ,4160,1,22.286952,114.13305459535005
376,Harbour Plaza 8 Degrees,"3630, 3631",2,22.322894249999997,114.19073312925468
377,Harbour Plaza Resort City ,"3460, 3818",2,-33.87770005,151.20355953992953
378,Harbour Plaza Resort City Hong Kong,3818,1,,
379,Hau Tak Shopping Centre ,"3327, 3328, 3875",3,22.3169826,114.2659242
380,Haven Court,"3664, 4401",2,41.0948411,-73.922703
381,Haven Court ,"3664, 4199, 4401",3,41.0948411,-73.922703
382,"Hei Lai House, Wah Lai Estate",3917,1,22.342522549999998,114.13729638857976
383,"Hei Tin House, Yan Tin Estate",4375,1,22.4149471,113.97603767258721
384,"Heng Cheong House, Fu Heng Estate",3600,1,22.4586379,114.1713514667931
385,"Heng Cheuk House, Tin Heng Estate",4456,1,22.4704393,113.99980602199633
386,"Heng Kin House, Tin Heng Estate",4060,1,22.4704393,113.99980602199633
387,"Heng Nga House, Hong Nga Court",3643,1,22.30518205,114.23783724709503
388,Heng On Shopping Centre ,"2267, 2697, 3428, 3490, 3953",5,22.4167715,114.22771676918897
389,"Heng Yuet House, Heng On Estate",3718,1,22.4175887,114.22816565837479
390,Hennessy Apartments,3678,1,22.2797615,114.18304654966693
391,"Herring Gull House, Sha Kok Estate",4530,1,22.37853715,114.19462504104656
392,Heung Wo Street,"4248, 4249, 4347",3,22.3717373,114.1117208
393,Heya Star Cafe de Itamomo ,4498,1,,
394,"Hi Shek House, Shek Mun Estate","3642, 3717",2,22.38591735,114.20958268358896
395,"Hibiscus House, Ma Tau Wai Estate",3762,1,22.32321585,114.18682201588476
396,"High Block, King Fu House, Shan King Estate",4373,1,22.3987124,113.96641668494043
397,"High Block, Ting Lung House, On Ting Estate",3640,1,22.3872107,113.9769265350201
398,Hilton Plaza ,"2012, 2529, 3456",3,27.25876815,33.82863247526509
399,"Him Yat House, Yat Tung (II) Estate",4090,1,22.283333550000002,113.93646775830285
400,Hin Keng Shopping Centre ,"1666, 2306, 2310, 3456",4,22.3629397,114.17135557987231
401,Hing Fat Building 11 Yu King Square ,4212,1,22.4433335,114.02825284990655
402,Hing Fook Building,4472,1,22.4468335,114.02154301608951
403,Hing Wah Building,4141,1,22.3081985,114.1841746213128
404,Hing Wah Plaza ,4526,1,22.26250065,114.23582589230588
405,"Hing Wai House, Tai Hing Estate",3822,1,22.402859399999997,113.97032144757966
406,Hip Wo House ,"2124, 2849, 3535",3,22.31655155,114.22612551417862
407,Hiu Lai Shopping Centre ,4529,1,22.32074725,114.2293903917526
408,Hiu Lai Shopping Centre  ,4186,1,22.32074725,114.2293903917526
409,"Hiu Yat House , Hiu Lai Court",4186,1,22.3195842,114.23003223218043
410,"Hiu Yat House, Hiu Lai Court",4387,1,22.3195842,114.23003223218043
411,Ho Sheung Heung,"4222, 4422, 4423, 4494, 4501, 4520",6,22.5120317,114.1083384
412,Ho Shun Tai Building Peony Golden Court ,4432,1,,
413,Hoi Bun Industrial Building ,"3763, 3784",2,22.306753049999998,114.22266771342078
414,Homantin Plaza ,"1780, 2476, 3386, 3668",4,22.3162584,114.18184595319883
415,Home World The Whampoa ,3713,1,22.3049964,114.1867366
416,"Hong Ching House, Kai Ching Estate","3876, 4038",2,22.33268855,114.2029353599387
417,"Hong Fung House, Cheung Hong Estate",3727,1,22.3495711,114.10459239142227
418,"Hong Kin House, Tsz Hong Estate",4428,1,22.347504100000002,114.2028478105612
419,Hong Kong Adventist Hospital  Tsuen Wan ,"2967, 3558, 3953, 4261",4,,
420,Hong Kong Baptist Hospital ,"1314, 1364, 1557, 1644, 1779, 2008, 2960",7,22.3397091,114.17990392544519
421,Hong Kong International Airport Super Terminal 1 Canteen ,3750,1,,
422,Hong Kong International Airport Terminal 1 Dlifrance ,3750,1,,
423,Hong Kong International Airport Terminal 1 Duddell's ,3750,1,,
424,Hong Kong International Airport Terminal 1 Moon Thai Express ,3750,1,,
425,Hong Kong Jockey Club Sha Tin Racecourse ,3725,1,,
426,Hong Kong Pacific Centre ,"2249, 2538",2,22.297180400000002,114.17125506442952
427,Hong Kong Reese Hotel ,"2485, 2987",2,,
428,Hong Kong Sanatorium & Hospital ,"1848, 2181, 2468, 2522, 2559, 4196, 4341",7,22.269434349999997,114.18299242833507
429,Hong Kong Science Park Food Lab ,4198,1,22.4272551,114.209868
430,Hong Kwai House Cheung Hong Estate ,"3892, 4111",2,22.3495711,114.10459239142227
431,"Hong Kwai House, Cheung Hong Estate","3952, 3955, 4325",3,22.3495711,114.10459239142227
432,Hong Ning Building ,4058,1,22.3170549,114.22285834729811
433,Hong Tai House Cheung Hong Estate ,"3952, 4043",2,,
434,"Hong Tai House, Cheung Hong Estate","3608, 3609, 3610, 3705, 3706, 3865, 3871, 3892, 4152",9,22.3495711,114.10459239142227
435,"Hong Wo House, Cheung Hong Estate Fairwood ",4043,1,,
436,Honland Building ,"3583, 4166",2,,
437,"Hop Wo Yu Tong, Mai Po","3671, 3672",2,22.4997773,114.0521036
438,Hop Yick Commercial Centre ,4521,1,22.442518749999998,114.03017987420031
439,Hop Yick Plaza ,4432,1,22.44324155,114.02935599660523
440,Hop Ying Commercial Centre ,3889,1,22.32447165,114.16805695923833
441,"Hor Ping House, Long Ping Estate","4337, 4426, 4433",3,22.44845535,114.02450443666368
442,Hsin Kuang Centre  ,4419,1,22.3420676,114.19640291719293
443,Hsin Kuang Centre Fulum Palace ,"1598, 2298, 2510",3,,
444,Hung Cheung Building Hee Wan Caf ,"2386, 2689, 4166",3,,
445,"Hung Fai House, Hung Hom Estate","4068, 4165, 4317",3,22.30824615,114.18956068598933
446,"Hung Foon House, Hung Fuk Estate",4181,1,22.437490150000002,113.9978163123299
447,Hung Fuk Estate Auxillary Facilities Block ,4236,1,,
448,Hung Hay Building,"4264, 4478",2,22.3159576,114.17164574559492
449,Hung Hay Building Sun Kee Chicken Congee ,"2973, 3973",2,,
450,Hung Hom Municipal Services Building ,"1723, 1760, 1765, 1877, 1965, 2058, 2116, 2296, 2316, 2341, 2902, 3185, 3188, 3290, 3464, 3643, 3648, 3668, 3731, 4165",20,22.3073678,114.18741570780053
451,"Hung Lok House, Hung Fuk Estate","3596, 3720",2,22.437490150000002,113.9978163123299
452,"Hung Long House, Hung Fuk Estate","4236, 4237",2,22.437490150000002,113.9978163123299
453,"Hung Shing House, Hung Fuk Estate",4359,1,22.437490150000002,113.9978163123299
454,Hung To Industrial Building ,4013,1,22.3081952,114.22397081377551
455,Hung Tso Tin Tsuen,3919,1,22.4244693,114.0308282
456,Hung Wan Building ,"3968, 4035",2,22.3677918,114.13489372367633
457,Hung Wan Centre Wealth Banquet ,4432,1,,
458,"Hung Yiu House, Hung Hom Estate",3774,1,22.30824615,114.18956068598933
459,Hung Yu Mansion ,4121,1,22.29190155,114.19708744339977
460,"Hung Yuet House, Hung Fuk Estate",4205,1,22.437490150000002,113.9978163123299
461,Hysan Place ,"3165, 3565, 3943",3,22.27981135,114.18378511861296
462,IFC Mall ,4303,1,22.2850331,114.1572279
463,Immigration Tower ,"1542, 1584, 1765, 2104, 2134, 2448, 2696, 3026, 4482",9,22.27975325,114.17297826767292
464,In House,4080,1,52.1384929,4.5488794
465,Indi home,"4413, 4527, 4540",3,11.2934294,75.76474827784872
466,Indi home ,"4413, 4540",2,11.2934294,75.76474827784872
467,Indi home Green River Restaurant ,4413,1,,
468,Indi home Maxim's MX ,4413,1,,
469,Island Lodge,4283,1,22.2923208,114.20173784516616
470,Java Road Municipal Services Building ,"2299, 2468",2,22.2923334,114.1993535491039
471,K-point ,4412,1,50.4627749,30.5046718
